"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jan-2024","EQ","8,607.55","8,698.00","8,607.55","8,607.55","8,640.00","8,639.65","8,649.02","9,200.00","5,882.55","51,866","44,85,90,143.65","11,247"
"03-Jan-2024","EQ","8,722.95","8,728.80","8,600.00","8,711.45","8,602.50","8,607.55","8,636.37","9,200.00","5,882.55","53,427","46,14,15,206.55","11,233"
"02-Jan-2024","EQ","8,740.00","8,784.60","8,609.00","8,744.20","8,700.00","8,711.45","8,696.42","9,200.00","5,882.55","47,188","41,03,66,716.25","10,727"
"01-Jan-2024","EQ","8,793.00","8,793.00","8,710.00","8,753.45","8,749.00","8,744.20","8,760.47","9,200.00","5,882.55","34,849","30,52,93,776.95","7,692"
"29-Dec-2023","EQ","8,799.15","8,799.15","8,701.50","8,757.95","8,725.00","8,753.45","8,737.27","9,200.00","5,709.05","67,924","59,34,70,618.75","15,091"
"28-Dec-2023","EQ","8,850.00","8,855.00","8,742.00","8,801.50","8,765.00","8,757.95","8,794.16","9,200.00","5,709.05","52,729","46,37,07,316.95","12,901"
"27-Dec-2023","EQ","8,897.00","8,925.55","8,781.00","8,860.30","8,792.00","8,801.50","8,848.86","9,200.00","5,709.05","58,680","51,92,51,002.80","11,082"
"26-Dec-2023","EQ","8,914.00","8,930.00","8,824.00","8,870.65","8,850.00","8,860.30","8,869.44","9,200.00","5,709.05","59,102","52,42,01,754.30","12,915"
"22-Dec-2023","EQ","8,770.45","8,899.95","8,770.40","8,770.45","8,870.40","8,870.65","8,845.35","9,200.00","5,709.05","94,150","83,27,90,158.90","17,296"
"21-Dec-2023","EQ","8,520.00","8,800.00","8,408.35","8,608.35","8,750.00","8,770.45","8,664.33","9,200.00","5,709.05","1,69,773","1,47,09,69,292.30","31,937"
"20-Dec-2023","EQ","8,935.00","9,029.00","8,500.00","8,900.75","8,589.00","8,608.35","8,791.19","9,200.00","5,709.05","1,40,635","1,23,63,48,543.75","29,396"
"19-Dec-2023","EQ","9,099.00","9,140.00","8,870.00","9,087.35","8,906.00","8,900.75","8,944.36","9,200.00","5,709.05","1,45,418","1,30,06,71,239.40","25,365"
"18-Dec-2023","EQ","9,060.05","9,200.00","9,001.25","9,053.60","9,071.35","9,087.35","9,083.49","9,200.00","5,709.05","1,36,439","1,23,93,42,103.70","20,154"
"15-Dec-2023","EQ","8,985.05","9,145.50","8,960.95","8,985.65","9,045.00","9,053.60","9,079.44","9,183.25","5,709.05","2,27,532","2,06,58,63,865.85","32,397"
"14-Dec-2023","EQ","8,949.90","9,183.25","8,920.00","8,858.75","8,954.60","8,985.65","9,061.07","9,183.25","5,709.05","3,76,386","3,41,04,59,825.05","48,869"
"13-Dec-2023","EQ","8,892.25","8,940.00","8,714.35","8,901.90","8,870.00","8,858.75","8,804.13","8,994.70","5,709.05","1,89,094","1,66,48,08,406.55","28,063"
"12-Dec-2023","EQ","8,450.90","8,994.70","8,450.90","8,446.25","8,892.25","8,901.90","8,839.29","8,994.70","5,709.05","9,57,240","8,46,13,17,331.95","1,09,059"
"11-Dec-2023","EQ","8,401.70","8,460.00","8,400.00","8,365.85","8,432.00","8,446.25","8,437.77","8,576.05","5,709.05","81,052","68,38,98,263.15","14,784"
"08-Dec-2023","EQ","8,370.05","8,409.75","8,300.00","8,365.45","8,350.70","8,365.85","8,354.23","8,576.05","5,709.05","81,159","67,80,21,340.75","13,834"
"07-Dec-2023","EQ","8,469.00","8,469.00","8,350.00","8,454.55","8,365.00","8,365.45","8,392.63","8,576.05","5,709.05","68,049","57,11,10,415.95","12,498"
"06-Dec-2023","EQ","8,431.05","8,499.00","8,380.00","8,392.10","8,419.95","8,454.55","8,452.47","8,576.05","5,709.05","1,37,436","1,16,16,73,594.15","27,296"
"05-Dec-2023","EQ","8,402.05","8,443.35","8,360.00","8,402.80","8,390.00","8,392.10","8,380.83","8,576.05","5,709.05","81,006","67,88,97,217.90","11,840"
"04-Dec-2023","EQ","8,499.00","8,500.00","8,335.00","8,423.25","8,400.50","8,402.80","8,396.25","8,576.05","5,709.05","1,06,243","89,20,42,465.80","18,178"
"01-Dec-2023","EQ","8,333.25","8,440.00","8,316.35","8,252.80","8,382.50","8,423.25","8,394.28","8,576.05","5,709.05","1,27,176","1,06,75,51,320.00","21,997"
"30-Nov-2023","EQ","8,432.10","8,446.85","8,207.00","8,388.55","8,260.00","8,252.80","8,299.77","8,576.05","5,709.05","3,14,893","2,61,35,40,135.50","38,341"
"29-Nov-2023","EQ","8,340.00","8,470.00","8,330.15","8,306.20","8,398.00","8,388.55","8,408.10","8,576.05","5,709.05","1,38,630","1,16,56,15,019.35","22,336"
"28-Nov-2023","EQ","8,331.05","8,479.95","8,203.45","8,334.55","8,311.00","8,306.20","8,319.88","8,576.05","5,709.05","1,28,466","1,06,88,22,224.25","28,744"
"24-Nov-2023","EQ","8,421.65","8,508.00","8,310.00","8,380.35","8,320.00","8,334.55","8,405.39","8,576.05","5,709.05","82,775","69,57,56,347.70","14,869"
"23-Nov-2023","EQ","8,399.00","8,510.20","8,351.00","8,389.70","8,390.00","8,380.35","8,427.83","8,576.05","5,709.05","96,295","81,15,58,297.40","16,257"
"22-Nov-2023","EQ","8,425.00","8,458.00","8,333.20","8,423.25","8,381.00","8,389.70","8,397.64","8,576.05","5,709.05","78,752","66,13,30,591.75","14,872"
"21-Nov-2023","EQ","8,325.85","8,455.00","8,301.00","8,284.70","8,418.10","8,423.25","8,397.47","8,576.05","5,709.05","1,44,008","1,20,93,02,799.90","23,565"
"20-Nov-2023","EQ","8,314.85","8,399.90","8,262.00","8,306.60","8,299.00","8,284.70","8,330.89","8,576.05","5,709.05","98,817","82,32,33,089.75","16,760"
"17-Nov-2023","EQ","8,489.55","8,576.05","8,271.75","8,459.15","8,316.00","8,306.60","8,397.57","8,576.05","5,709.05","1,96,640","1,65,12,97,467.35","34,984"
"16-Nov-2023","EQ","8,204.95","8,497.00","8,168.00","8,194.75","8,442.45","8,459.15","8,387.88","8,497.00","5,709.05","3,17,224","2,66,08,36,751.40","42,946"
"15-Nov-2023","EQ","8,170.90","8,219.00","8,120.25","8,086.80","8,202.35","8,194.75","8,172.16","8,349.95","5,709.05","94,762","77,44,10,191.55","17,735"
"13-Nov-2023","EQ","8,139.00","8,199.00","8,021.10","8,139.05","8,069.00","8,086.80","8,094.01","8,349.95","5,709.05","74,252","60,09,96,689.40","15,430"
"12-Nov-2023","EQ","8,148.95","8,171.00","8,077.00","8,055.05","8,145.00","8,139.05","8,139.35","8,349.95","5,709.05","29,206","23,77,17,914.15","7,235"
"10-Nov-2023","EQ","8,090.95","8,091.00","7,955.55","8,050.90","8,077.00","8,055.05","8,014.31","8,349.95","5,709.05","88,542","70,96,02,916.65","13,777"
"09-Nov-2023","EQ","8,205.05","8,219.85","8,011.55","8,242.90","8,065.05","8,050.90","8,091.18","8,349.95","5,709.05","1,48,049","1,19,78,91,176.90","22,236"
